PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 Ontario,1995-05-01,Bearskin Airlines / Air Sandy,Swear. SA-227CC Metro 23/Piper Navajo,5,3,8,5,3
 Ecuador,1995-05-03,American Jet,Grumman Gulfstream II,5,2,7,5,2
 Colombia,1995-05-09,ADES Colombia,Curtiss C-46F,5,4,9,5,4
 Idaho,1995-05-13,Military - U.S. Air Force,Lockheed C-130E Hercules,0,6,6,0,6
 England,1995-05-24,Knight Air,Embraer 110 P1 Bandeirante,9,3,12,9,3
 Senegal,1995-05-29,Senegalair,Piper PA-31-310 Navajo,8,2,6,4,2
 New Zealand,1995-06-09,Ansett New Zealand,de Havilland Canada DHC-8-102,18,3,5,4,1
 Russia,1995-06-16,Aeroflot,Antonov AN-2,12,2,13,11,2
 Angola,1995-06-17,Military - Angolan Air Force,CASA 212-200 Aviocar,45,3,48,45,3
 Nigeria,1995-06-24,Harka Air Services,Tupolev TU-134A,74,6,16,16,0
 Dominican Republic,1995-06-27,Salair,Convair CV-440,0,2,2,0,2
 Papua New Guinea,1995-07-01,Garamut Aviation,de Havilland Canada C-7A Caribou,1,2,3,1,2
 Papua New Guinea,1995-07-12,Milne Bay Air,de Havilland Canada DHC-6 Twin Otter 300,13,2,15,13,2
  Indonesia,1995-07-17,Merpati Nusantara Airlines,de Havilland Canada DHC-6 Twin Otter 300,16,2,1,0,1
 Madagascar,1995-07-18,Military - Madagascar Air Force,Douglas C-47A,29,5,34,29,5
 Papua New Guinea,1995-07-25,Transniugini Airways,Britten-Norman BN-2A Islander,1,1,2,1,1
 South Africa,1995-08-02,Aero Air,Antonov An-2R,0,3,3,0,3
 Indonesia,1995-08-09,Bourag Indonesia Airlines,Hawker Siddeley HS-748 2A,6,4,10,6,4
 San Vincente,1995-08-09,Aviateca,Boeing B-737-2H6,58,7,65,58,7
 Colombia,1995-08-14,AIRES Colombia,Embraer 110P1 Bandeirante,8,2,10,8,2
 Georgia,1995-08-21,Atlantic Southeast Airlines,Embraer 120-RT Brasilia,26,3,10,9,1
 Alaska,1995-09-01,North Star Air Cargo,Shorts SC-7 Skyvan,0,1,1,0,1
 Arizona,1995-09-02,Adventure Airlines,Cessna 421C Golden Eagle,7,1,8,7,1
 Ontario,1995-09-02,Military - Royal Air Force,British Aerospace Nimrod MR-2P,0,7,7,0,7
 Colombia,1995-09-09,SAETA,CASA 212 Aviocar 200,18,4,21,17,4
 Afghanistan,1995-09-11,Ariana Afghan Airlines,Antonov AN-26B,44,7,3,3,0
 Sri Lanka,1995-09-12,Military - Sri Lanka Air Force,Antonov AN-32,76,5,81,76,5
  Malaysia,1995-09-15,Malaysia Airlines,Fokker 50,49,4,34,32,2
 Mongolia,1995-09-21,MIAT - Mongolian Airlines,Antonov AN-24RV,37,6,42,36,6
 Alaska,1995-09-22,Military - U.S. Air Force,Boeing B-707 (E-3B),20,4,24,20,4
 Russia,1995-09-24,Norilsk Flight Company,Mil Mi-8T,10,5,15,10,5
 British Columbia,1995-09-27,Western Straits Air,De Havilland Dash-3,9,1,8,7,1
 Indonesia,1995-10-03,Sabang Merauke Raya Air Charter,CASA 212,12,2,1,0,1
 Kirghizia,1995-10-04,Kirghizia Aba Zaoldoru,Mil Mi-8MTV-1,12,3,15,12,3
 Argentina,1995-11-09,Military - Argentine Air Force,Fokker F-27 Friendship 500,48,5,53,48,5
 Nigeria,1995-11-13,Nigeria Airways,Boeing B-737-2F9,129,8,9,9,0
 Sri Lanka,1995-11-22,Military - Sri Lanka Air Force,Antonov AN-32,57,6,63,57,6
 Malaysia,1995-11-29,Sabah Air,Bell 412 (helicopter),8,2,10,8,2
 Azerbaijan,1995-11-30,Azerbaijan Airlines,Boeing 707-323C,0,6,2,0,2
 Cameroon,1995-12-03,Cameroon Airlines,Boeing B-737-2K9,72,6,72,68,4
 Azerbaijan,1995-12-05,Azerbaijani Airlines,Tupolev TU-134B-3,76,6,54,52,2
 Russia,1995-12-07,Far East Aviation,Tupolev TU-154B,90,8,98,90,8
 Italy,1995-12-13,Romanian Banat Air,Antonov AN-24B,41,8,49,41,8
 Angola,1995-12-18,Trans Service Airlift,Lockheed L-188C Electra,139,5,141,137,4
 Valle del Cauca,1995-12-20,American Airlines,Boeing B-757-223,156,8,160,152,8
 Papua New Guinea,1995-12-22,Island Airways,Britten Norman BN-2A-21 Trislander,11,1,2,1,1
 Barbados,1996-01-08,Mustique Airways,Britten-Norman BN-2A-27 Islander,9,1,1,1,0
 Zaire,1996-01-08,African Air,Antonov AN-32B,0,6,2,0,2
 Nigeria,1996-01-18,Military - Nigerian Air Force,British Aerospace BAe-125-700B,10,4,14,10,4
 Paraguay,1996-02-04,Lineas Aereas del Caribe,McDonnell Douglas DC-8-55F,1,3,4,1,3
 Arizona,1996-02-05,Business Air Connection,ConvairCV-440,2,2,4,2,2
 Domincan Republic,1996-02-06,Alas Nacionales. leased from Birgen Air,Boeing B-757-225,176,13,189,176,13
 Hati,1996-02-12,Hati Express,GAF Nomad N-24A,13,2,11,9,2
 Angola,1996-02-27,Aero Tropical,Antonov 12BP,3,5,8,3,5
 Peru,1996-02-29,Compania de Aviacion Faucett SA (Peru),Boeing B-737-222,117,6,123,117,6
 Turkmenistan,1996-03-12,Akhal Air,Mil Mi-8T (helicopter),9,3,12,9,3
 Croatia,1996-04-03,Military - U.S. Air Force,Boeing B-737-T43,29,6,35,29,6
 Russia,1996-04-05,Krasnoyarskie Avialinii,Ilyushin IL-76TD,11,9,20,11,9
 Taiwan,1996-04-05,Formosa Airlines,Dornier 228-212,15,2,6,6,0
 Wyoming,1996-04-11,Private,Cessna 177B,2,1,3,2,1
 Sudan,1996-05-03,Federal Airlines,Antonov AN-24,48,5,53,48,5
 British Columbia,1996-05-09,Buffalo Narrows Airways,de Havilland Canada DHC-3 Otter,0,2,2,0,2
 Mexico,1996-05-10,Aeroservicios Empresariales de Durango,de Havilland Canada DHC-6 Twin Otter 200,17,2,16,14,2
 Miami,1996-05-11,ValuJet,McDonnell Douglas DC-9-32,105,5,110,105,5
 Papua New Guinea,1996-05-11,Milne Bay Air,Britten Norman BN-2A-20 Trislander,9,1,1,1,0
 United Kingdom,1996-05-19,Loganair,Britten-Norman BN-2A-26 Islander,2,1,3,2,1
 Democratic Republic Congo,1996-06-06,Hoseba,Ilyushin 76MD,2,8,10,2,8
 Iran,1996-06-09,Iran Air,Boeing 727-286,0,7,7,0,7
 Japan,1996-06-13,Garuda Indonesia Airlines,McDonnell Douglas DC-10-30,260,15,3,3,0
 China,1996-06-21,China Flying Dragon Aviation (Feilong Airlines),Harbin Yunshuji Y-12-II,9,3,2,1,1
 Florida,1996-07-06,Delta Air Lines,McDonnell Douglas MD-88,137,5,2,2,0
 New Guinea,1996-07-09,Milne Bay Air,de Havilland Canada DHC-6 Twin Otter 300,19,1,20,19,1
 India,1996-07-11,Archana Airlines,Let 410,6,3,9,6,3
 The Netherlands,1996-07-15,Military - Belgian Air Force,Lockheed C-130H,37,4,34,30,4
 Mexico,1996-07-17,Aerolatino (Aerocaribe),de Havilland Canada DHC-6 Twin Otter 300,16,2,1,1,0
 New York,1996-07-17,Trans World Airlines,Boeing B-747-131,212,18,230,212,18
 Alaska,1996-07-20,Northern Air Cargo,Douglas DC-6A,1,3,4,1,3
 Manmar,1996-07-24,Myanmar Airways,Fokker F-27 Friendship 600,44,5,8,8,0
 Canada,1996-08-12,First Air,de Havilland Canada DHC-6 Twin Otter 300,0,2,2,0,2
 British Columbia,1996-08-14,Air North,Douglas DC-4,0,3,1,0,1
 Wyoming,1996-08-17,Military - U.S. Air Force,Lockheed C-130H Hercules,1,8,9,1,8
 British Columbia,1996-08-18,Harbour Air,de Havilland Canada DHC-3 Turbo Otter,2,1,3,2,1
 Yugosalvia,1996-08-19,Spair Air Transport,Ilyushin IL-76T,2,10,12,2,10
 Norway,1996-08-29,Vnokovo Airlines,Tupolev TU-154M,129,12,141,129,12
 Netherlands,1996-09-25,Dutch Dakota Association,Douglas DC-3C,26,6,32,26,6
 Peru,1996-10-02,Aeroperu,Boeing B-757-200,61,9,70,61,9
 Congo,1996-10-03,Malu Aviation,de Havilland Canada DHC-6 Twin Otter 200,19,2,6,4,2
 Angola,1996-10-06,Savanair,Antonov 12B,13,6,6,5,1
 Italy,1996-10-08,Aeroflot,Antonov An-124,0,23,2,0,2
 Ecuador,1996-10-22,Million Air,Boeing B-707-323C,0,4,4,0,4
 Russia,1996-10-26,Tyumen Aviatrans,Yakovlev YAK-40,30,4,5,3,2
 Brazil,1996-10-31,TAM (Brazil),Fokker 100,89,6,95,89,6
 Guatemala,1996-11-01,Transported Areos Profesionales - TAPSA,Embraer 110P1 Bandeirante,14,2,16,14,2
 Nigeria,1996-11-07,Aviation Development Corporation,Boeing B-727-231,134,9,143,134,9
 France,1996-11-07,Jetcom S.A.,Cessna 421C Golden Eagle,7,1,8,7,1
 India,1996-11-12,Saudi Arabian Airlines / Kazakhstan Airlines,Boeing B-747-168B / Ilyushin IL-76TD,316,33,349,316,33
 Russia,1996-11-14,Komi Avia,Antonov AN-2,13,2,14,13,1
 Illinois,1996-11-19,United Express  / Private,Beechcraft 1900-C / Beech King Air A90,10,4,14,10,4
 CA,1996-11-22,Military - U.S. Air Force,Lockheed HC-130P Hercules,0,11,10,0,10
 Comoros,1996-11-23,Ethiopian Airlines,Boeing B-767-260ER,163,12,127,117,10
 Siberia,1996-11-27,Military - Russian Air Force,Ilyushin IL-76MD,19,4,23,19,4
 Colombia,1996-11-30,ACES Colombia,de Havilland Canada DHC-6 Twin Otter 300,13,2,14,12,2
 Indonesia,1996-12-07,Dirgantara Air Services,CASA 212 Aviocar 100,15,2,16,14,2
 Idaho,1996-12-09,Emery Worldwide,Douglas C-47A,0,2,2,0,2
 Colombia,1996-12-21,SELVA,Antonov An-32B,1,3,4,1,3
 Virginia,1996-12-22,Airborne Express,McDonnell Douglas DC-8-63F,3,3,6,3,3
 New Hampshire,1996-12-24,Aircraft Charter Group Inc,Learjet 35A,0,2,2,0,2
 India,1996-12-24,Military - Indian Air Force,Hindustan Aeronautics 748-2,17,5,22,17,5
 Samoa,1997-01-07,Polynesian Airlines,de Havilland Canada DHC-6 Twin Otter 300,3,2,3,2,1
 Michigan,1997-01-09,Comair,Embraer 120RT Brasilia,26,3,29,26,3
 Alaska,1997-01-29,Southcentral Air,de Havilland Canada DHC-4A Caribou,0,2,1,0,1
 Nigeria,1997-01-31,Skypower Express Airways,Embraer 110P1A Bandeirante,13,3,5,2,3
 Senegal,1997-02-01,Air Senegal,Hawker Siddeley HS-748-353 Srs.2a,49,3,25,22,3
 Angola,1997-02-02,Force Area Populaire de Angola,CASA 212 Aviocar 200,33,4,37,33,4
 Brazil,1997-02-14,Varig,Boeing B-737-2C3,46,6,1,0,1
 Guatemala,1997-02-19,Transpolar,IAI 1124 Westwind,4,1,5,4,1
 Angola,1997-03-12,ALADA,Antonov AN-12B,12,4,16,12,4
 Russia,1997-03-18,Stavropol Airlines,Antonov AN-24RV,44,6,50,44,6
 Georgia,1997-04-04,Custom Air Service,Aviation Traders ATL-98 Carvair,0,2,2,0,2
 Alaska,1997-04-10,Hageland Aviation Services,Cessna 208B Caravan I,4,1,5,4,1
 Democratic Republic Congo,1997-04-14,TAAG Angola Airlines,Fokker F-27 Friendship 600,4,3,3,0,3
 Azerbaijan,1997-04-15,Azerbaijan Airlines,Yakovlev 40,0,6,6,0,6
 Indonesia,1997-04-19,Merpati Nusantara Airlines,British Aerospace ATP,48,5,15,11,4
 China,1997-05-08,China Southern Airlines,Boeing B-737-31B,65,9,35,33,2
 Congo,1997-06-06,Bazair,Vickers Viscount 781D,20,7,27,20,7
 Mongolia,1997-06-10,MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,10,2,7,7,0
 India,1997-07-03,Elbee Airlines,Fokker F-27 Friendship 200,0,2,2,0,2
 Brazil,1997-07-09,TAM (Brazil),Fokker 100,55,5,1,1,0
 Cuba,1997-07-11,Cubana de Aviacion,Antonov AN-24,39,5,44,39,5
 Indonesia,1997-07-17,Sempati Air,Fokker F-27 Friendship 600,45,5,30,25,5
  New Guinea,1997-07-18,Goroka Air Services,de Havilland Canada DHC-6 Twin Otter 300,3,1,2,1,1
 Nigeria,1997-07-29,ADC Airlines,BAC One-Eleven 203AE,49,6,1,0,1
 Italy,1997-07-30,Air Littoral,Aerospatiale ATR-42-512,14,3,1,0,1
 Guam,1997-08-06,Korean Airlines,Boeing B-747-300,231,23,228,206,22
 Florida,1997-08-07,Fine Air,McDonnell Douglas DC-8-61F,1,3,4,1,3
 Taiwan,1997-08-10,Formosa Airlines,Dornier DO-228-212,14,2,16,14,2
 Venezuela,1997-08-29,SATENA,Pilatus PC-6 Turbo Porter / Cessna 206,10,2,12,10,2
 Cambodia,1997-09-03,Vietnam Airlines,Tupolev TU-134,60,6,65,59,6
 Malaysia,1997-09-06,Borneo Airways,Dornier 228-212,8,2,10,8,2
 Zaire,1997-09-12,TMK Air Commuter,de Havilland Canada DHC-6 Twin Otter 300,21,1,22,21,1
 Africa,1997-09-13,Military - Luftwaffe / Military - USAF,Tupolev TU-154M / C-141 Starlifter,23,10,33,23,10
 Indonesia,1997-09-26,Garuda Indonesia Airlines,Airbus A300-B4-200,222,12,234,222,12
 Colorado,1997-10-08,Scenic Airlines,Cessna 208B Caravan I,8,1,9,8,1
 Uruguay,1997-10-10,Austral Lineas Aeras (Argentina),McDonnell Douglas DC-9-32,69,5,74,69,5
 Taiwan,1997-10-10,Military - Republic of China Air Force,Lockheed C-130H Hercules,0,5,5,0,5
 near Pacific Grove,1997-10-12,Private,Rutan Long EZ (experimental aircraft),0,1,1,0,1
 Afghanistan,1997-10-29,Ariana Afghan Airlines,Yakovlev YAK-40,20,6,2,2,0
 Alaska,1997-11-08,Hageland Aviation Services,Cessna 208B Caravan I,7,1,8,7,1
 Russia,1997-12-05,Military - Russian Air Force,Antonov AN-124-100,17,6,23,17,6
 Canada,1997-12-09,Sowind Air,Embraer 110P1 Bandeirante,15,2,4,3,1
 Bolivia,1997-12-13,STAP,Swearingen SA-226T Metro II,17,2,10,9,1
 United Arab Emirates,1997-12-15,Tajikistan Airlines,Tupolev TU-154,77,9,85,77,8
 Greece,1997-12-17,Aerosweet Airlines (LVOV),Yakovlev YAK-42,62,8,70,62,8
 Indonesia,1997-12-19,SilkAir,Boeing B-737-300,97,7,104,97,7
 Greece,1997-12-20,Military - Greek Air Force,Lockheed C-130H Hercules,0,5,5,0,5
 off Angola,1997-12-27,Renan Airways,Antonov An-72,0,5,5,0,5
 Panama,1997-12-31,Parsa,Britten Norman BN-2A Trislander,9,1,10,9,1
 Czech Republic,1998-01-13,Aeroservice International,Let 410UVP,0,2,2,0,2
 Pakistan,1998-01-13,Military - Ariana Afghan Airlines,Antonov AN-12BP,45,6,51,45,6
 Myanmar,1998-01-27,Myanmar Airways,Fokker F-27 Friendship 600,41,4,16,15,1
 Philippines,1998-02-02,Cebu Pacific Air,McDonnell Douglas DC-9-32,99,5,104,99,5
 Trento,1998-02-03,Military - U.S. Marine Corps,Grummand EA-6B,0,2,0,0,0
 Portugal,1998-02-04,Air Luxor,Antonov 12BP,0,7,7,0,7
 Spain,1998-02-05,Military - Spanish Air Force,CASA 212-S1 Aviocar 100,0,5,5,0,5
 Taiwan,1998-02-16,China Airlines (Taiwan),Airbus A300-622R,182,14,196,182,14
 Kenya,1998-03-10,Air Memphis,Boeing 707-336C,0,6,6,0,6
 Taiwan,1998-03-18,Formosa Airlines,Saab340B,8,5,13,8,5
 Afghanistan,1998-03-19,Ariana Afghan Airlines,Boeing B-727-228,32,13,45,32,13
 Philippines,1998-03-22,Philippine Air Lines,Airbus A.320-214,121,6,0,0,0
 Peru,1998-03-28,Fuerza Aérea del Peru,Antonov AN-32,50,5,22,22,0
 Mexico,1998-03-31,Linea Aérea Mexicana de Carga,Convair CV-240-53,0,4,2,0,2
 Colombia,1998-04-20,Air France,Boeing B-727-230,43,10,53,43,10
 Peru,1998-05-05,Fuerza Aérea del Peru,Boeing B-737-282,81,7,75,69,6
 Mauritania,1998-05-12,Military - Mauritanian Air Force,Xian Yunshuji Y-7-100C,35,7,39,32,7
 Laos,1998-05-25,Military - Lao People's Liberation Army Air Force,Yakovlev YAK-40,20,6,26,20,6
 Canada,1998-06-18,Propair,Swearingen SA-226TC Metroliner II,9,2,11,9,2
 Hawaii,1998-06-25,Air Taxi - Ohana Helicopter Tours,Eurocopter AS-350-BA,4,2,6,4,2
 United Arab Emirates,1998-07-13,ATI Aircompany,Ilyushin 76MD,0,8,8,0,8
 Argentina,1998-07-16,Alas del Sur,Rockwell Sabreliner 60,1,2,3,1,2
 Eritrea,1998-07-17,Ukraine Aviation Transport Company,Ilyushin II-76,1,9,10,1,9
 Mexico,1998-07-23,Military - Mexican Air Force,Shorts SC-7 Skyvan 3-100,0,4,4,0,4
 England,1998-07-27,Plane Sailing,Consolidated PBY-5A Catalina,14,4,4,2,2
 Spain,1998-07-28,Swifair,Swearingen SA.227AC Metro III,0,2,2,0,2
 Brazil,1998-07-29,Selva Taxi Aero,Embraer 110 Bandeirante,22,2,5,4,1
 France,1998-07-30,Proteus Air / Private,Beechcraft 1900D / Cessna 177,12,3,15,12,3
 India,1998-07-30,Alliance Airlines,Dornier 228-201,3,3,6,3,3
 British Columbia,1998-08-04,Harbour Air Seaplanes Ltd.,de Havilland Dash-2 Beaver,4,1,5,4,1
 Angola,1998-08-11,Alada,Antonov An-12BP,6,7,1,0,1
 New Zealand,1998-08-19,Vincent Aviation,Cessna 402C,9,1,5,4,1
 Nepal,1998-08-21,Lumbini Airways,de Havilland Canada DHC-6 Twin Otter 300,15,3,18,15,3
 South Africa,1998-08-24,Speed Service Couriers,DC-3-65TP,0,2,1,0,1
 Myanmar,1998-08-24,Myanmar Airways,Fokker F-27 Friendship 600,40,4,44,40,4
 Ecuador,1998-08-29,Cubana de Aviacion,Tupolev TU-154M,77,14,70,56,14
 Nova Scotia,1998-09-02,Swissair,McDonnell Douglas MD-11,215,14,229,215,14
 Alaska,1998-09-09,Rusts Flying Service Inc.,de Havilland Dash-2 float plane,4,1,5,4,1
 Pakistan,1998-09-10,Military - Pakistan Air Force,Lockheed C-130B Hercules,0,5,5,0,5
 Morroco,1998-09-25,Paukn Air,British Aerospace BAe-146-100,34,4,38,34,4
 Cape Verde,1998-09-28,Cabo Verde Airlines,de Havilland Canada DHC-6 Twin Otter 300,20,2,1,1,0
 Sri Lanka,1998-09-29,Lionair,Antonov AN-24RV,48,7,55,48,7
 Venezuela,1998-10-02,Servivensa,Douglas DC-3C,24,3,1,0,1
 Congo,1998-10-10,Congo Airline,Boeing B-727-30,38,3,41,38,3
 Armenia,1998-10-21,Ararat Avia,Yakovlev YAK-40,33,4,0,0,0
 Uganda,1998-10-25,TanaMana Aviation,Britten-Norman BN-2A-3 Islander,10,1,4,3,1
 Guatemala,1998-11-01,Living Water Teaching Ministries Charter,Douglas DC-3C,16,2,11,9,2
 Russia,1998-11-11,Sakha Airlines,Antonov AN-12,7,6,13,7,6
 Maryland,1998-11-21,Private,Burgess RV-6 experimental,0,1,1,0,1
 Canada,1998-12-07,Air Satellite,Britten-Norman Trislander,8,2,7,6,1
 Thailand,1998-12-11,Thai Airways,Airbus A-310-204,132,14,102,91,11
 Angola,1998-12-14,Khors Aircompany,Antonov AN-12BP,6,5,11,6,5
 Colombia,1998-12-22,SELVA,Antonov 32B,2,3,5,2,3
 Angola,1998-12-26,Transafrik,Lockheed Martin L-100-30 Hercules,10,4,14,10,4
 Angola,1999-01-02,Transafrik - United Nations Charter,Lockheed L-100-30 Hercules,5,4,9,5,4
 Channel Islands,1999-01-12,Channel Express,Fokker F-27 Friendship 600,0,2,2,0,2
 Germany,1999-01-13,Military - German Air National Guard,Boeing KC-135E,0,4,4,0,4
 British Columbia,1999-01-13,Kelowna Flightcraft Air Charter,Douglas DC-3C,0,2,2,0,2
 QLD,1999-01-16,Uzu Air,Britten Norman BN-2A-26,3,1,3,2,1
 Angola,1999-02-02,Savannair,Antonov AN-12,10,4,14,10,4
 Papua New Guinea,1999-02-03,Airlink,Britten Norman BN-2A Trislander,10,1,11,10,1
  Democratic Republic Congo,1999-02-08,Air Karibu,Lockheed L-188A Electra,0,7,7,0,7
 China,1999-02-24,China Southwest Airlines,Tupolev TU-154,50,11,61,50,11
 Italy,1999-02-25,Minerva Airlines,Dornier 328-110,27,4,4,3,1
 India,1999-03-07,Military - Indian Air Force,Antonov AN-32 Transport,15,4,19,15,4
 Colombia,1999-03-18,ALIANSA Colombia,Douglas DC-3C (C-47A-DK),5,3,8,5,3
 Newfoundland,1999-03-19,Provincial Airlines,de Havilland Canada DHC-6 Twin Otter 300,0,2,1,0,1
 Brazil,1999-04-07,Manacá Táxi Aéreo,Learjet 24D,0,5,5,0,5
 Turkey,1999-04-07,Turkish Airlines (THY),Boeing 737-4Q8,0,6,6,0,6
 Colombia,1999-04-08,Aerotaca,de Havilland Canada DHC-6 Twin Otter 300,3,2,5,3,2
 China,1999-04-15,Korean Air,McDonnell Douglas MD-11,0,3,3,0,3
 Vanuatu,1999-05-08,Vanair,de Havilland Canada DHC-6 Twin Otter 300,11,1,7,6,1
 Malaysia,1999-05-24,Military - Malaysian Air Force,de Havilland Canada DHC-4A,0,5,5,0,5
 Kenya,1999-05-29,Malindi Air Services,Let 410UVP-E,0,2,2,0,2
 Arkansas,1999-06-01,American Airlines,McDonnell Douglas MD-82,139,6,11,10,1
 Alaska,1999-06-09,Air Taxi - Coastal Helicopters Inc.,Eurocopter AS-350BA,6,1,7,6,1
 Papua New Guinea,1999-06-17,Airlink,Embraer 110P2 Bandeirante,15,2,17,15,2
 Manatoba,1999-06-25,Blue Water Aviation Services,de Havilland Canada DHC-3 Otter,0,2,1,0,1
 Angola,1999-07-01,Savanair,Antonov 12B,0,5,1,0,1
 Myanmar,1999-07-02,Myanmar Airways,Fokker F-27 Friendship 600,4,4,8,4,4
 Colombia,1999-07-04,LANC Colombia,Douglas DC-6A,12,6,5,5,0
 Nepal,1999-07-07,Lufthansa Cargo Airlines,Boeing 727-243F,0,5,5,0,5
 Mexico,1999-07-09,Aero Jet Express,Hawker Siddeley HS-125,2,2,4,2,2
 Massachusetts,1999-07-16,Private,Piper PA-32-R301 Saratoga II HP,2,1,3,2,1
 Japan,1999-07-23,All Nippon Airways,Boeing B-747,503,14,1,0,1
 Colombia,1999-07-23,Military - U.S. Army,de Havilland Canada DHC-7-102,0,7,7,0,7
 Fiji,1999-07-24,Air Fiji,Embraer 110P1 Bandeirante,15,2,17,15,2
 Cape Verde Islands,1999-08-07,TACV-Cabo Verde Airlines,Dornier 228-201,16,2,18,16,2
 China,1999-08-22,China Airlines (Taiwan),McDonnell Douglas MD-11,300,15,3,3,0
 Taiwan,1999-08-24,Uni Air,McDonnell Douglas MD-90-30,90,6,1,1,0
 Uzbekistan,1999-08-26,Uzbekistan Airways,Yakovlev YAK-40,29,4,2,2,0
 Argentina,1999-08-31,LAPA. Lineas Aereas Privadas Argentinas,Boeing B-737-204C,98,5,63,60,3
 Nepal,1999-09-05,Necon Air,Hawker Siddeley HS-748-501 Super 2B,10,5,15,10,5
 Spain,1999-09-14,Britannia Airways,Boeing 757-204,236,9,1,1,0
 Romania,1999-09-14,Greek Government,Dassault Falcon 900B,10,3,7,7,0
 Brazil,1999-09-14,Norte Jet Táxi Aéreo,Embraer 110 Bandeirante,0,2,2,0,2
 Mexico,1999-09-17,Military - Mexican Air Force,Lockheed C-130A Hercules,0,5,5,0,5
 Saudi Arabia,1999-10-02,Aramco Associated Company,Bell 214ST helicopter,18,2,12,10,2
 Venezuela,1999-10-24,Military - Venezuelan Army,Arava 201,3,3,6,3,3
 South Dakota,1999-10-25,Private charter,Gates Learjet 35,4,2,6,4,2
 Massachusetts,1999-10-31,EgyptAir,Boeing B-767-366ER,202,15,217,202,15
 Mexico,1999-11-09,TAESA,McDonnell Douglas DC-9-31,13,5,18,13,5
 Kosovo,1999-11-12,Si Fly - U.N. charter,Aerospatiale Alenia ATR-42,21,3,24,21,3
 Russia,1999-12-05,Tashkent Aircraft Production Corporation,Ilyushin 114T,0,7,5,0,5
 Philippines,1999-12-07,Asian Spirit,Let 410UVP,15,2,17,15,2
 Kuwait,1999-12-10,Military - U.S. Air Force,Lockheed C-130H,86,8,3,3,0
 Azores (Portugal),1999-12-11,SATA,British Aerospace APT,31,4,35,31,4
 Guatemala,1999-12-21,Cubana de Aviacon,McDonnell Douglas DC-10-30,296,18,16,8,8
 United Kingdom,1999-12-22,Korean Air,Boeing 747-2B5F,0,4,4,0,4
 India / Kandahar,1999-12-24,Indian Airlines,Airbus A300B2-101,174,15,1,0,1
 Venezuela,1999-12-25,Cubana de Aviacion,Yakovlev YAK-42D,12,10,22,12,10
 Nepal,1999-12-25,Skyline Airways,de Havilland Canada DHC-6 Twin Otter,7,3,10,7,3
 Nigeria,2000-01-05,Skypower Express Airways,Embraer 110P1A Bandeirante,13,3,1,1,0
 Switzerland,2000-01-10,Crossair,Saab 340B,7,3,10,7,3
 Libya,2000-01-13,Avisto,Shorts 360-300,38,3,22,21,1
 Costa Rica,2000-01-15,TACA,Let 410UVP-E,17,3,5,4,1
 Ivory Coast,2000-01-30,Kenya Airways,AirbusA310-304,169,10,169,159,10
 California,2000-01-31,Alaska Airlines,McDonnell Douglas MD-83,83,5,88,83,5
 California,2000-02-16,Emery Worldwide,McDonnell Douglas DC-8-71F,0,3,3,0,3
 Calilfornia,2000-03-05,Southwest Airlines,Boeing B-737-3T5,137,5,0,0,0
 Russia,2000-03-09,Vologodskiye Airlines,Yakovlev YAK-40,4,5,9,4,5
 Panama,2000-03-17,Aeroperlas,de Havilland Canada DHC-6 Twin Otter 300,8,2,10,8,2
 Canada,2000-03-17,Points North Air Services,Douglas C-47A-5-DK,0,2,2,0,2
 Spain,2000-03-22,Military - Ejército del Aire,CASA 212-DE Aviocar 200,0,7,7,0,7
 Sri Lanka,2000-03-24,Sky Cabs,Antonov AN-12 (freighter),0,8,6,0,6
 Angola,2000-03-25,Uralex,Antonov AN-32,29,4,3,3,0
 Sri Lanka,2000-03-30,Military - Sri Lankan Air Force,Antonov An-26,36,4,40,36,4
 Florida,2000-04-05,Bankair,Learjet 35A,0,3,3,0,3
 Philippines,2000-04-19,Air Philippines,Boeing B-737-2H4,124,7,131,124,7
Congo,2000-04-19,Military - Centrafricain Airlines,Antonov AN-8,20,4,24,20,4
 Papua New Guinea,2000-04-29,North Coast Aviation,Britten-Norman BN-2A-20 Islander,1,3,4,1,3
 France,2000-05-02,Northern Executive Aviation,Learjet 35A,3,2,2,0,2
 Guyana,2000-05-03,Trans Guyana Airways,Britten-Norman BN-2A-9 Islander,0,1,1,0,1
 Hawaii,2000-05-10,Price Aircraft Company,Rockwell Sabreliner 65,4,2,6,4,2
 Gabon,2000-05-17,Avirex,Beechcraft 1900C-1,8,2,3,2,1
 Pennsylvania,2000-05-21,Executive Airlines,BAe Jetstream 3101-31,17,2,19,17,2
 Australia,2000-05-31,Whyalla Airlines,Piper PA-31-350 Navajo,1,7,8,1,7
 Ghana,2000-06-05,Ghana Airlink,Fokker F-27 Friendship 600,48,4,7,7,0
 China,2000-06-22,Wuhan Airlines,Xian Yunshuji Y-7-100C,40,4,44,40,4
 Florida,2000-06-23,Universal Jet Aviation,Learjet 55,1,2,3,1,2
 Japan,2000-06-27,Military - Japanese Air Self-Defence Force,Kawasaki C-1A,0,5,5,0,5
 Philippines,2000-07-02,Military - Philippine Air Force,GAF Nomad N-22C,11,4,14,10,4
